${MART}.,PMART.
PMART.FACT_CARD_ADD,dev.dm_pay_card_add
PMART.FACT_CARD_ADD_CNT,dev.pay_card_add_cnt
PMART.FACT_CARD_ADD_FAMIPORT_TP1,dev.pay_card_add_famiport
PMART.FACT_CARD_ADD_HIST,dev.pay_card_add_hist
PMART.FACT_CARD_ADD_LIVE,dev.pay_card_add_live
PMART.FACT_CARD_ADD_MEG,dev.pay_card_add_meg
PMART.FACT_CARD_ADD_TP1,dev.pay_card_add_tp1
PMART.FACT_CARD_CT1,dev.pay_card_ct1
PMART.FACT_CARD_PAY,dev.pay_card
PMART.FACT_CARD_PAY_CNT,dev.pay_card_cnt
PMART.FACT_CARD_PAY_HIST,dev.pay_card_hist
PMART.FACT_CARD_PAY_LIVE,dev.pay_card_live
PMART.FACT_CARD_PAY_PRDGRP,dev.pay_card_prd_grp
PMART.FACT_CARD_PAY_TOP,dev.pay_card_top
PMART.FACT_CARD_POINT_MEMBER,dev.pay_card_mem_pnt
PMART.FACT_CARD_POINT_POMO,dev.pay_card_point_pomo
PMART.FACT_CARD_POINT_UNUSUAL,dev.pay_card_pnt_abn
PMART.FACT_IMPORTANT,dev.fact_important
PMART.FACT_IMPORTANT_NONOPEN,dev.fact_important_nonopen
PMART.FACT_MEMBER_CARD,dev.mem_card_fact
PMART.FACT_MEMBER_PAS_FIRSTBUY,dev.tfm.psl_firstpay
PMART.FACT_MEMBER_PAS_FIRSTCHG,dev.tfm.psl_firstchg
PMART.FACT_MEMBER_PAS_PRD,dev.psl_fact_prd
PMART.FACT_SHE,dev.fact_she
PMART.FACT_VCCARD_PAYMENT_DETAIL,dev.pay_card_vc
PMART.LAST_ORG_DIM,dev.m_org_last
PMART.LAST_ORG_FM_DIM,dev.m_org_type_fm
PMART.LAST_ORG_MMA_DIM,dev.m_org_type_mma
PMART.LAST_ORG_OSTYPE_DIM,dev.m_org_type_ostype
PMART.LAST_ORG_SAGE_DIM,dev.m_org_type_sage
PMART.LAST_ORG_STORE,dev.last_org_store
PMART.LAST_ORG_STYPE_DIM,dev.m_org_type_stype
PMART.LATEST_ORG_DIM,tfm.m_org_hist
PMART.MEMBER_SEND_PAS,dev.psl_send_mem
PMART.MEMBER_SEND_REP,dev.co_send_mem
PMART.MEMBER_STOCK_PAS,dev.psl_stock_mem
PMART.MEMBER_STOCK_REP,dev.co_stock_mem
PMART.ORG_DIM,tfm.m_org
PMART.PAS_MFACT_DETAIL,dev.psl_fact_detail
PMART.PAS_STOCK_DAILY,dev.psl_stock_daily
PMART.PRD_DIM,tfm.m_cmdt_retst
PMART.PRD_GRP,dev.m_cmdt_kgrp
PMART.PRD_KND,dev.m_cmdt_knd
PMART.PRD_LINK_DIM,tfm.m_cmdt_link
PMART.PRD_PRD,dev.m_cmdt_orist
PMART.STORE_TYPE_DIM,dev.m_store_type_hist
PMART.TIME_D,dev.m_date_d
PMART.TIME_M,dev.m_date_m
PMART.TIME_W,dev.m_date_w
PMART.TIME_Y,dev.m_date_y
PMART.TSC_REMD_FACT_ALL,dev.tsc_remd_fact_all
PMART.TSC_REMD_FACT_IMM,dev.tsc_remd_fact_imm
PMART.TSC_TRANS_PRD_AGN_L2_ALL,dev.tsc_trans_prd_agn_l2_all
PMART.TSC_TRANS_PRD_AGN_L3_ALL,dev.tsc_trans_prd_agn_l3_all
PMART.TSC_TRANS_PRD_AGN_L3_IMM,dev.tsc_trans_prd_agn_l3_imm
PMART.YMWD_TIME,tfm.m_date_ymwd
PMART.YMWD_TIME_W2,dev.m_date_ymwd2
PMART.bi_code,dev.bi_code
PMART.bi_1_5_add1day,dev.bi_1_5_add1day
PMART.store_rel,tfm.m_store_rel
PMART.LAST_SHOPDIST,dev.vw_last_shopdist
pmart.basic_mfact_detail_tot,dev.basic_mfact_dtl_tot
PDATA.pbmecmdt,dev.m_cmdt_e
PMART.latest_org_type_dim,tfm.m_org_type_hist
PMART.BASIC_MFACT_DETAIL_ONLINE,dev.basic_mfact_dtl_online
PMART.GPMB_DETAIL,dev.gpmb_mfact_dtl
pmart.GPMB_SHOP,dev.gpmb_mfact_shop
PMART.MF_DETAIL,dev.mf_mfact_dtl
PMART.PREORDER_DETAIL,dev.preorder_mfact_dtl
PMART.SGB_DETAIL,dev.sgb_mfact_dtl
PMART.SGB_SHOP,dev.sgb_mfact_shop
PMART.PREORDER_SHOP,dev.preorder_mfact_shop
